id,artists,duration_ms,name,popularity,music_composer,release_date,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0rFdbImiFCvAY8jD2aE391,"V. Selvaganesh, Karthik, Chinmayi",301986,Vizhigalile,35,V. Selvaganesh,2011-03-16,Kulla Nari Kootam (Original Motion Picture Soundtrack),0.612,0.518,4,-8.888,0,0.19,0.639,8.47e-05,0.0817,0.527,159.894,audio_features,spotify:track:0rFdbImiFCvAY8jD2aE391,https://api.spotify.com/v1/tracks/0rFdbImiFCvAY8jD2aE391,https://api.spotify.com/v1/audio-analysis/0rFdbImiFCvAY8jD2aE391,301987,4
6NwEpX2JUWHVKWfDDfcqC4,"Anirudh Ravichander, Ajesh Ashok",204866,Idhazhin Oram - The Innocence of Love,58,Anirudh Ravichander,2011-12-23,3 (Original Motion Picture Soundtrack),0.65,0.783,7,-6.197,0,0.0377,0.22,3.71e-06,0.182,0.302,109.959,audio_features,spotify:track:6NwEpX2JUWHVKWfDDfcqC4,https://api.spotify.com/v1/tracks/6NwEpX2JUWHVKWfDDfcqC4,https://api.spotify.com/v1/audio-analysis/6NwEpX2JUWHVKWfDDfcqC4,204867,4
2MwCoo4GeXpi8soWn9EiPo,"Anirudh Ravichander, Dhanush, Shruti Haasan",205946,Kannazhaga - The Kiss of Love,59,Anirudh Ravichander,2011-12-23,3 (Original Motion Picture Soundtrack),0.574,0.496,8,-7.153,0,0.0277,0.431,0.0,0.399,0.61,109.935,audio_features,spotify:track:2MwCoo4GeXpi8soWn9EiPo,https://api.spotify.com/v1/tracks/2MwCoo4GeXpi8soWn9EiPo,https://api.spotify.com/v1/audio-analysis/2MwCoo4GeXpi8soWn9EiPo,205947,4
0xttqqTj7ZAGyVkfOYxQ4F,"Anirudh Ravichander, Vijay Yesudas, Shweta Mohan",264506,Nee Paartha Vizhigal - The Touch of Love,57,Anirudh Ravichander,2011-12-23,3 (Original Motion Picture Soundtrack),0.665,0.596,9,-6.969,0,0.0278,0.293,3.67e-05,0.247,0.644,110.055,audio_features,spotify:track:0xttqqTj7ZAGyVkfOYxQ4F,https://api.spotify.com/v1/tracks/0xttqqTj7ZAGyVkfOYxQ4F,https://api.spotify.com/v1/audio-analysis/0xttqqTj7ZAGyVkfOYxQ4F,264507,4
5o0cR4FzBPvSE7831sBNvq,"Anirudh Ravichander, The Chennai Strings Orchestra",115853,A Life Full of Love Theme - Instrumental,42,Anirudh Ravichander,2011-12-23,3 (Original Motion Picture Soundtrack),0.366,0.425,2,-5.811,0,0.0341,0.907,0.33,0.12,0.488,118.238,audio_features,spotify:track:5o0cR4FzBPvSE7831sBNvq,https://api.spotify.com/v1/tracks/5o0cR4FzBPvSE7831sBNvq,https://api.spotify.com/v1/audio-analysis/5o0cR4FzBPvSE7831sBNvq,115853,3
5AjYjRsiIPAKjRP182ocKB,"Anirudh Ravichander, Dhanush",260013,Why This Kolaveri Di? - The Soup of Love,50,Anirudh Ravichander,2011-12-23,3 (Original Motion Picture Soundtrack),0.817,0.774,5,-4.341,0,0.153,0.543,1.61e-05,0.394,0.884,140.008,audio_features,spotify:track:5AjYjRsiIPAKjRP182ocKB,https://api.spotify.com/v1/tracks/5AjYjRsiIPAKjRP182ocKB,https://api.spotify.com/v1/audio-analysis/5AjYjRsiIPAKjRP182ocKB,260013,4
7tWpxCZtHehMyBuHiDePiu,"Anirudh Ravichander, Navin Iyer",74200,The Rhythm of Love Theme - Theme,36,Anirudh Ravichander,2011-12-23,3 (Original Motion Picture Soundtrack),0.639,0.899,4,-7.03,0,0.084,0.404,0.62,0.148,0.454,100.081,audio_features,spotify:track:7tWpxCZtHehMyBuHiDePiu,https://api.spotify.com/v1/tracks/7tWpxCZtHehMyBuHiDePiu,https://api.spotify.com/v1/audio-analysis/7tWpxCZtHehMyBuHiDePiu,74200,4
7vXNWKJJsuflJZwDtrQgRO,"Anirudh Ravichander, Mandolin Seenu",89400,Theme of 3,40,Anirudh Ravichander,2011-12-23,3 (Original Motion Picture Soundtrack),0.748,0.853,7,-6.568,1,0.0455,0.00336,0.341,0.117,0.477,119.973,audio_features,spotify:track:7vXNWKJJsuflJZwDtrQgRO,https://api.spotify.com/v1/tracks/7vXNWKJJsuflJZwDtrQgRO,https://api.spotify.com/v1/audio-analysis/7vXNWKJJsuflJZwDtrQgRO,89400,4
4tC9EKLTfmLEryGR2f7Wjc,"Anirudh Ravichander, Sathyaprakash, Harish Swaminathan",223746,Po Nee Po - Remix - The Scream of Love,42,Anirudh Ravichander,2011-12-23,3 (Original Motion Picture Soundtrack),0.585,0.883,7,-5.596,0,0.15,0.0485,0.000125,0.115,0.457,130.144,audio_features,spotify:track:4tC9EKLTfmLEryGR2f7Wjc,https://api.spotify.com/v1/tracks/4tC9EKLTfmLEryGR2f7Wjc,https://api.spotify.com/v1/audio-analysis/4tC9EKLTfmLEryGR2f7Wjc,223747,4
1BMtIj5bbGbdTAxlXaseR7,"Harris Jayaraj, Vijay Prakash, Karthik, Shruti Haasan, Pop Shalini",320426,Yellae Lama,45,Harris Jayaraj,2011-09-22,7 Aum Arivu (Original Motion Picture Soundtrack),0.804,0.756,9,-6.99,1,0.0499,0.0858,0.000149,0.271,0.62,116.027,audio_features,spotify:track:1BMtIj5bbGbdTAxlXaseR7,https://api.spotify.com/v1/tracks/1BMtIj5bbGbdTAxlXaseR7,https://api.spotify.com/v1/audio-analysis/1BMtIj5bbGbdTAxlXaseR7,320427,4
